Code, Name, Standard Deviation, Average, HedgeType, Skewness, latestValue, BuySuggestion
sz511990_us_chad,us_chad_5:null},9.68,18.20,1,-0.040,17.76,0
sz510050_us_chad,us_chad_5:null},9.70,-9.39,1,-0.125,-17.15,0
sz511220_us_chad,us_chad_5:null},9.71,20.06,1,-0.028,19.20,0
sz159925_us_chad,us_chad_南方300,9.72,-13.76,1,-0.128,-22.54,1
sz161607_us_chad,us_chad_融通巨潮,9.72,-10.11,1,-0.122,-17.90,0
sz510290_us_chad,us_chad_5:null},9.73,-20.46,1,-0.127,-30.75,1
sz159929_us_chad,us_chad_医药ETF,9.73,-11.29,1,-0.128,-20.29,1
sz159922_us_chad,us_chad_500ETF,9.74,-20.02,1,-0.127,-30.16,1
sz166008_us_chad,us_chad_中欧强债,9.74,21.15,1,-0.017,18.74,0
sz161119_us_chad,us_chad_易基综债,9.74,17.69,1,-0.007,18.61,0
sz512990_us_chad,us_chad_5:null},9.74,-15.25,1,-0.128,-22.91,0
sz160513_us_chad,us_chad_稳健债A,9.78,22.92,1,-0.003,23.78,0
sz510620_us_chad,us_chad_5:null},9.78,-17.64,1,-0.141,-30.13,1
sz159916_us_chad,us_chad_深F60,9.79,-7.25,1,-0.071,-11.97,0
sz160706_us_chad,us_chad_嘉实 300,9.82,-11.21,1,-0.127,-18.74,0
sz512340_us_chad,us_chad_5:null},9.83,-19.47,1,-0.122,-29.12,1
sz510300_us_chad,us_chad_5:null},9.84,-13.05,1,-0.133,-22.36,1
sz159910_us_chad,us_chad_深F120,9.84,-11.17,1,-0.085,-16.83,0
sz163208_us_chad,us_chad_诺安油气,9.85,5.79,1,-0.094,8.77,0
sz163801_us_chad,us_chad_中银中国,9.86,-22.47,1,-0.121,-38.73,1
sz166001_us_chad,us_chad_中欧趋势,9.87,-7.75,1,-0.122,-19.17,1
sz160119_us_chad,us_chad_南方500,9.89,-17.75,1,-0.129,-26.95,1
sz512610_us_chad,us_chad_5:null},9.90,-11.70,1,-0.131,-21.37,1
sz162006_us_chad,us_chad_长城久富,9.90,-14.23,1,-0.129,-24.86,1
sz510070_us_chad,us_chad_5:null},9.92,-15.71,1,-0.132,-24.82,1
sz512500_us_chad,us_chad_5:null},9.93,-20.62,1,-0.131,-29.80,1
sz159909_us_chad,us_chad_深TMT,9.93,-18.95,1,-0.129,-28.58,1
jj502036_us_chad,us_chad_互联金融,9.98,-13.55,1,-0.143,-25.98,1
sz160615_us_chad,us_chad_鹏华300,9.98,-11.68,1,-0.132,-18.26,0
sz159936_us_chad,us_chad_可选消费,10.01,-18.85,1,-0.124,-24.20,0
sz165510_us_chad,us_chad_信诚四国,10.01,0.91,1,-0.111,-3.23,0
sz164815_us_chad,us_chad_工银资源,10.04,4.41,1,-0.081,8.56,0
sz160807_us_chad,us_chad_长盛300,10.08,-13.56,1,-0.132,-22.48,1
sz161213_us_chad,us_chad_国投消费,10.09,-13.61,1,-0.133,-19.30,0
sz510210_us_chad,us_chad_5:null},10.14,-15.17,1,-0.133,-24.11,1
sz512230_us_chad,us_chad_5:null},10.15,-13.46,1,-0.135,-22.75,1
sz510010_us_chad,us_chad_5:null},10.17,-13.52,1,-0.136,-21.82,0
sz160515_us_chad,us_chad_安丰18,10.19,29.78,1,0.007,30.63,0
sz512510_us_chad,us_chad_5:null},10.19,-19.63,1,-0.135,-29.73,1
sz510510_us_chad,us_chad_5:null},10.22,-21.89,1,-0.137,-32.08,1
sz161907_us_chad,us_chad_万家红利,10.25,-13.61,1,-0.128,-20.81,0
sz162307_us_chad,us_chad_海富100,10.28,-8.90,1,-0.130,-17.70,0
sz159935_us_chad,us_chad_景顺500,10.30,-20.28,1,-0.137,-31.19,1
sz160611_us_chad,us_chad_鹏华治理,10.32,-8.57,1,-0.135,-15.08,0
sz161821_us_chad,us_chad_银华50A,10.35,23.34,1,-0.016,24.90,0
sz510180_us_chad,us_chad_5:null},10.36,-13.54,1,-0.141,-23.05,1
sz160813_us_chad,us_chad_长盛同盛,10.44,-20.88,1,-0.135,-32.24,1
sz164701_us_chad,us_chad_添富贵金,10.50,11.50,1,-0.022,19.43,0
jj502007_us_chad,us_chad_国企改A,10.51,-13.05,2,0.052,-9.83,0
jj502040_us_chad,us_chad_上50分级,10.51,3.54,1,-0.186,-10.69,1
sz159927_us_chad,us_chad_A300ETF,10.52,-14.30,1,-0.138,-25.10,1
sz510420_us_chad,us_chad_5:null},10.52,-17.29,1,-0.143,-27.88,1
sz161217_us_chad,us_chad_国投资源,10.53,-19.97,1,-0.131,-26.24,0
jj502049_us_chad,us_chad_上证50A,10.53,-16.15,2,0.052,-12.95,0
sz159926_us_chad,us_chad_国债ETF,10.54,26.49,1,-0.011,25.03,0
sz162711_us_chad,us_chad_广发500L,10.54,-19.96,1,-0.140,-29.88,1
sz160415_us_chad,us_chad_华安S300,10.59,-17.43,1,-0.134,-23.87,0
sz165806_us_chad,us_chad_东吴100,10.61,-14.15,1,-0.134,-23.91,1
sz510020_us_chad,us_chad_5:null},10.61,-10.86,1,-0.138,-20.26,0
sz160616_us_chad,us_chad_鹏华500,10.64,-19.73,1,-0.139,-29.06,1
sz510150_us_chad,us_chad_5:null},10.67,-13.64,1,-0.134,-21.68,0
sz510880_us_chad,us_chad_5:null},10.67,-15.60,1,-0.144,-25.73,1
sz162207_us_chad,us_chad_泰达效率,10.72,-13.06,1,-0.144,-23.02,1
sz510270_us_chad,us_chad_5:null},10.73,-12.95,1,-0.142,-22.51,1
sz510190_us_chad,us_chad_5:null},10.74,-15.29,1,-0.144,-24.84,1
sz512300_us_chad,us_chad_5:null},10.75,-17.85,1,-0.147,-28.51,1
sz510450_us_chad,us_chad_5:null},10.76,-16.13,1,-0.147,-27.07,1
sz510440_us_chad,us_chad_5:null},10.78,-17.44,1,-0.132,-29.84,1
sz510560_us_chad,us_chad_5:null},10.79,-7.08,1,-0.145,-19.52,1
sz165309_us_chad,us_chad_建信300,10.80,-10.11,1,-0.136,-18.10,0
jj502023_us_chad,us_chad_钢铁分级,10.81,-1.75,1,-0.183,-15.69,1
sz160717_us_chad,us_chad_恒生H股,10.82,-2.36,1,-0.140,-11.31,0
sz160125_us_chad,us_chad_南方香港,10.85,-7.76,1,-0.142,-16.99,0
sz510430_us_chad,us_chad_5:null},10.86,-12.88,1,-0.146,-23.04,1
sz510130_us_chad,us_chad_5:null},10.99,-17.09,1,-0.152,-28.29,1
sz510220_us_chad,us_chad_5:null},11.04,-19.08,1,-0.144,-31.00,1
sz160719_us_chad,us_chad_嘉实黄金,11.04,20.48,1,0.029,32.28,2
jj502026_us_chad,us_chad_新丝路,11.04,0.15,1,-0.193,-14.59,1
jj502014_us_chad,us_chad_一带一A,11.06,-15.43,2,0.055,-12.68,0
sz163821_us_chad,us_chad_中银300E,11.07,-14.55,1,-0.146,-21.63,0
sz512110_us_chad,us_chad_5:null},11.08,-11.27,1,-0.140,-24.53,1
sz161831_us_chad,us_chad_H股分级,11.10,-4.74,1,-0.146,-14.10,0
sz165513_us_chad,us_chad_信诚商品,11.14,-34.88,2,-0.047,-37.06,0
sz161116_us_chad,us_chad_易基黄金,11.15,20.69,1,0.027,32.05,2
jj502020_us_chad,us_chad_国金50,11.15,-8.52,1,-0.123,-16.32,0
sz510610_us_chad,us_chad_5:null},11.16,-15.04,1,-0.171,-28.39,1
sz518880_us_chad,us_chad_5:null},11.17,19.05,1,0.027,30.90,2
sz159934_us_chad,us_chad_黄金ETF,11.17,19.14,1,0.029,31.38,2
sz510260_us_chad,us_chad_5:null},11.20,-19.71,1,-0.154,-31.23,1
sz510900_us_chad,us_chad_5:null},11.20,-3.87,1,-0.147,-13.19,0
sz510410_us_chad,us_chad_5:null},11.20,-22.30,1,-0.142,-31.39,0
sz166007_us_chad,us_chad_中欧300,11.20,-13.03,1,-0.147,-22.69,0
sz518800_us_chad,us_chad_5:null},11.22,19.56,1,0.031,31.92,2
sz159937_us_chad,us_chad_博时黄金,11.24,18.63,1,0.030,30.90,2
sz161815_us_chad,us_chad_银华通胀,11.24,0.77,1,-0.123,-2.24,0
sz159924_us_chad,us_chad_300等权,11.28,-15.50,1,-0.122,-22.33,0
sz162605_us_chad,us_chad_景顺鼎益,11.28,-19.06,1,-0.145,-45.02,1
jj502048_us_chad,us_chad_50分级,11.38,-9.36,1,-0.136,-17.82,0
sz167901_us_chad,us_chad_华宸300,11.42,-8.31,1,-0.149,-18.14,0
sz159923_us_chad,us_chad_100ETF,11.44,-9.00,1,-0.139,-17.27,0
jj502021_us_chad,us_chad_国金50A,11.51,-15.18,2,0.051,-12.87,0
sz510160_us_chad,us_chad_5:null},11.51,-17.44,1,-0.157,-27.92,1
sz510170_us_chad,us_chad_5:null},11.52,-21.13,1,-0.147,-31.58,1
sz159932_us_chad,us_chad_500深ETF,11.57,-13.16,1,-0.104,-24.90,1
jj502000_us_chad,us_chad_500等权,11.58,-30.49,1,-0.145,-38.59,0
jj502003_us_chad,us_chad_军工分级,11.69,-43.29,1,-0.176,-58.97,1
sz510120_us_chad,us_chad_5:null},11.71,-17.59,1,-0.158,-30.10,1
jj502056_us_chad,医疗分级_us_chad,11.73,-14.00,1,-0.205,-28.10,1
sz159945_us_chad,us_chad_全指能源,11.73,-14.00,1,-0.169,-21.63,0
sz510060_us_chad,us_chad_5:null},11.99,-13.03,1,-0.167,-25.22,1
sz163503_us_chad,us_chad_天治核心,12.27,-12.76,1,-0.158,-39.50,1
sz162411_us_chad,us_chad_华宝油气,12.46,-6.07,1,-0.147,-6.90,2
sz512310_us_chad,us_chad_5:null},12.53,-22.76,1,-0.175,-36.50,1
sz160314_us_chad,us_chad_华夏行业,12.65,-17.60,1,-0.175,-33.55,1
sz160805_us_chad,us_chad_长盛同智,12.69,-17.65,1,-0.176,-34.24,1
jj502006_us_chad,us_chad_国企改革,13.72,-23.39,1,-0.184,-37.25,1
sz159930_us_chad,us_chad_能源ETF,13.91,-21.47,1,-0.185,-27.75,0
sz160610_us_chad,us_chad_鹏华动力,14.44,-26.43,1,-0.207,-42.33,1
sz160613_us_chad,us_chad_鹏华创新,14.67,-17.42,1,-0.201,-34.29,1
sz161005_us_chad,us_chad_富国天惠,14.72,-14.39,1,-0.181,-35.15,1
jj502015_us_chad,us_chad_一带一B,16.10,-61.24,1,-0.180,-74.20,1
sz160106_us_chad,us_chad_南方高增,16.21,-23.54,1,-0.230,-43.15,1
jj502013_us_chad,us_chad_一带一路,16.32,-20.95,1,-0.193,-36.88,1
sz160505_us_chad,us_chad_博时主题,17.00,-13.46,1,-0.238,-33.83,1
jj502002_us_chad,us_chad_500等权B,17.00,-64.25,1,-0.199,-73.57,0
sz163302_us_chad,us_chad_大摩资源,17.13,-28.46,1,-0.242,-49.99,1
sz162703_us_chad,us_chad_广发小盘,17.35,-32.05,1,-0.222,-58.20,1
jj502025_us_chad,us_chad_钢铁B,17.76,-8.29,1,-0.312,-37.29,1
sz160105_us_chad,us_chad_南方积配,18.21,-14.76,1,-0.259,-34.95,1
jj502042_us_chad,us_chad_上50B,19.01,2.18,1,-0.320,-27.69,1
sz160607_us_chad,us_chad_鹏华价值,19.83,-14.92,1,-0.270,-41.14,1
sz162607_us_chad,us_chad_景顺资源,19.85,-31.18,1,-0.283,-55.53,1
jj502028_us_chad,新丝路B_us_chad,20.16,-4.73,1,-0.359,-35.09,1
jj502050_us_chad,us_chad_上证50B,20.81,-44.51,1,-0.248,-58.12,0
jj502008_us_chad,us_chad_国企改B,21.35,-61.56,1,-0.256,-76.17,0
jj502032_us_chad,us_chad_高铁B,21.37,-48.09,1,-0.346,-84.07,1
jj502055_us_chad,us_chad_券商B,21.39,14.65,1,-0.164,-8.69,1
jj502038_us_chad,us_chad_网金B,22.33,-36.88,1,-0.296,-63.90,1
jj502012_us_chad,us_chad_证券B,23.05,-72.13,1,-0.307,-97.98,1
jj502022_us_chad,us_chad_国金50B,23.34,-51.36,1,-0.257,-64.63,0
