Code, Name, Standard Deviation, Average, HedgeType, Skewness, latestValue, BuySuggestion
sz002372,伟星新材_us_chad,6.82,-10.58,1,-0.050,-13.80,0
sh600593,大连圣亚_us_chad,6.83,-6.34,1,0.011,-18.99,1
sz300335,迪森股份_us_chad,6.83,-19.23,1,-0.077,-13.02,2
us_chad,us_chad_香梨股份,6.84,-15.69,1,0.049,-6.09,2
sz300330,华虹计通_us_chad,6.85,-21.42,1,-0.023,-22.71,0
sz300260,新莱应材_us_chad,6.85,-23.51,1,-0.041,-21.98,0
sz002254,泰和新材_us_chad,6.85,1.76,1,-0.070,-4.94,1
sh601116,三江购物_us_chad,6.85,-20.64,1,-0.058,-27.17,1
sz300436,广生堂_us_chad,6.86,-0.20,1,-0.027,-5.82,0
sz300405,科隆精化_us_chad,6.86,-8.55,1,-0.023,-18.49,1
sz002579,中京电子_us_chad,6.87,-24.11,1,-0.049,-24.32,0
sh600699,均胜电子_us_chad,6.88,-12.10,1,-0.213,-17.67,0
sz002394,联发股份_us_chad,6.89,-14.26,1,0.010,-17.62,0
sz002523,天桥起重_us_chad,6.89,-20.90,1,-0.078,-25.77,0
sh600423,柳化股份_us_chad,6.89,-25.66,1,-0.011,-13.17,2
sz002382,蓝帆医疗_us_chad,6.90,-20.58,1,-0.067,-26.33,1
sz002654,万润科技_us_chad,6.90,1.04,1,0.231,20.35,2
sz002454,松芝股份_us_chad,6.90,-22.23,1,-0.091,-33.47,1
sz002056,横店东磁_us_chad,6.90,-22.94,1,-0.065,-26.77,0
sh601798,蓝科高新_us_chad,6.90,-20.05,1,-0.054,-30.39,1
sh603308,应流股份_us_chad,6.91,-18.82,1,-0.050,-25.50,1
sh601018,宁波港_us_chad,6.91,-13.73,1,-0.224,-9.57,0
sz002632,道明光学_us_chad,6.91,-17.12,1,0.028,-21.21,0
sh600563,法拉电子_us_chad,6.91,-0.96,1,0.004,4.79,0
sh600228,昌九生化_us_chad,6.91,-19.00,1,0.002,-28.99,1
sz002142,宁波银行_us_chad,6.92,-3.48,1,-0.064,-4.39,0
sh600664,哈药股份_us_chad,6.93,-12.79,1,-0.076,-15.82,0
sh600213,亚星客车_us_chad,6.94,-22.70,1,-0.023,-28.94,1
sz002742,三圣特材_us_chad,6.95,-9.30,1,0.035,-1.41,2
sz300322,硕贝德_us_chad,6.95,-8.14,1,-0.015,-9.66,0
sh603369,今世缘_us_chad,6.95,-10.54,1,-0.065,-6.35,0
sz300392,腾信股份_us_chad,6.95,-23.93,1,-0.093,-32.18,1
sz002694,顾地科技_us_chad,6.95,-14.31,1,-0.022,-5.70,2
sz002087,新野纺织_us_chad,6.96,-20.66,1,-0.046,-25.55,0
sz002748,世龙实业_us_chad,6.96,-14.84,1,-0.051,-21.98,1
us_chad,us_chad_长江通信,6.96,-16.04,1,0.011,-18.95,0
sz002578,闽发铝业_us_chad,6.96,-20.92,1,-0.038,-30.37,1
sz000926,福星股份_us_chad,6.97,-13.20,1,-0.047,-24.56,1
sz002042,华孚色纺_us_chad,6.97,-18.53,1,-0.085,-24.79,1
sh600608,ST;沪科_us_chad,6.97,-20.68,1,-0.026,-19.45,0
