Code, Name, Standard Deviation, Average, HedgeType, Skewness, latestValue, BuySuggestion
sz002588,史丹利_us_chad,7.51,-6.67,1,-0.010,-16.86,1
us_chad,us_chad_中青旅,7.52,-9.57,1,-0.054,-17.41,1
sz002421,达实智能_us_chad,7.52,-22.46,1,-0.082,-33.55,1
sh600355,精伦电子_us_chad,7.52,-11.38,1,-0.031,-21.45,1
sh603567,珍宝岛_us_chad,7.52,-14.76,1,-0.099,-28.32,1
sh600768,宁波富邦_us_chad,7.53,-24.72,1,-0.016,-20.77,0
sz002492,恒基达鑫_us_chad,7.53,-27.11,1,-0.057,-27.63,0
us_chad,us_chad_北巴传媒,7.54,-14.61,1,-0.003,6.07,2
sz000888,峨眉山Ａ_us_chad,7.55,-10.18,1,-0.026,-17.02,1
sz300338,开元仪器_us_chad,7.55,-30.98,1,-0.014,-31.56,0
sz300063,天龙集团_us_chad,7.55,-4.61,1,0.078,-3.48,0
sz002679,福建金森_us_chad,7.56,-22.26,1,-0.034,-30.57,1
sz300267,尔康制药_us_chad,7.56,-11.04,1,-0.067,-18.82,1
sz002755,东方新星_us_chad,7.57,-13.25,1,-0.050,-17.03,0
sh600548,深高速_us_chad,7.58,-7.52,1,-0.005,-11.50,0
sh603030,全筑股份_us_chad,7.59,-28.54,1,-0.080,-41.67,1
us_chad,us_chad_岷江水电,7.60,-26.45,1,-0.072,-26.92,0
sh603315,福鞍股份_us_chad,7.61,-14.56,1,-0.059,-23.84,1
sz002509,天广消防_us_chad,7.61,-17.27,1,-0.036,-12.27,0
sh600079,人福医药_us_chad,7.61,-7.79,1,-0.066,-21.29,1
sz300221,银禧科技_us_chad,7.61,-22.75,1,-0.014,-14.44,2
sz002444,巨星科技_us_chad,7.61,-17.63,1,-0.032,-14.35,0
sh600969,郴电国际_us_chad,7.61,-21.66,1,-0.090,-29.88,1
sz300044,赛为智能_us_chad,7.62,-26.55,1,-0.097,-38.74,1
sz300025,华星创业_us_chad,7.64,-17.37,1,-0.029,-2.50,2
sh603008,喜临门_us_chad,7.65,-16.34,1,0.001,-25.40,1
sh600864,哈投股份_us_chad,7.65,-16.24,1,-0.070,-25.32,1
sz002098,浔兴股份_us_chad,7.65,-25.05,1,-0.078,-31.83,1
sz300285,国瓷材料_us_chad,7.65,8.53,1,-0.009,-2.67,1
sh600658,电子城_us_chad,7.66,-23.67,1,-0.078,-36.02,1
sz002016,世荣兆业_us_chad,7.66,-31.00,1,-0.080,-39.68,1
sz002659,中泰桥梁_us_chad,7.66,-15.93,1,-0.061,-28.69,1
sz000856,*ST;冀装_us_chad,7.67,-21.43,1,-0.064,-27.09,0
sz000045,深纺织Ａ_us_chad,7.67,-25.69,1,-0.058,-31.90,1
sz002533,金杯电工_us_chad,7.67,-19.68,1,-0.025,-16.84,0
sh600385,山东金泰_us_chad,7.67,-21.37,1,-0.007,-19.04,0
sz000023,深天地Ａ_us_chad,7.68,-6.83,1,-0.009,-0.64,0
sz300371,汇中股份_us_chad,7.68,-14.90,1,-0.037,-22.95,1
us_chad,us_chad_开开实业,7.69,-19.67,1,-0.003,-19.87,0
sz300301,长方集团_us_chad,7.69,-20.73,1,-0.059,-30.98,1
sz002513,*ST;蓝丰_us_chad,7.69,-22.75,1,-0.081,-35.54,1
sz002364,中恒电气_us_chad,7.71,-14.23,1,-0.054,-18.21,0
us_chad,us_chad_保利地产,7.72,-6.88,1,-0.051,-13.56,0
sz002352,鼎泰新材_us_chad,7.73,-7.13,1,-0.045,-9.75,0
sh600979,广安爱众_us_chad,7.73,-21.79,1,-0.099,-34.51,1
sz002053,云南盐化_us_chad,7.74,-12.19,1,-0.021,-20.67,1
sz002393,力生制药_us_chad,7.74,-10.86,1,-0.061,-22.62,1
sz002139,拓邦股份_us_chad,7.74,-16.65,1,-0.092,-27.26,1
sz300201,海伦哲_us_chad,7.75,-3.31,1,0.074,-2.59,0
sz300029,天龙光电_us_chad,7.75,-22.74,1,-0.059,-27.72,0
sz000037,*ST;南񵍚_us_chad,7.75,-29.30,1,-0.033,-32.94,0
sh601886,江河集团_us_chad,7.76,-23.87,1,-0.069,-32.51,1
sz300374,恒通科技_us_chad,7.76,-14.90,1,-0.041,-19.78,0
sh600769,祥龙电业_us_chad,7.76,-17.64,1,-0.028,-29.08,1
sz300192,科斯伍德_us_chad,7.77,-11.91,1,-0.008,-6.48,0
sh600076,康欣新材_us_chad,7.78,-16.94,1,0.019,-6.85,2
sz000819,岳阳兴长_us_chad,7.78,-24.37,1,-0.022,-34.07,1
sh601992,金隅股份_us_chad,7.78,-14.07,1,-0.090,-25.65,1
sz300243,瑞丰高材_us_chad,7.78,-24.69,1,-0.052,-34.10,1
sz002160,常铝股份_us_chad,7.79,-23.57,1,-0.093,-37.66,1
sz002550,千红制药_us_chad,7.79,-22.92,1,-0.081,-31.29,1
sh603456,九洲药业_us_chad,7.80,1.30,1,0.000,-8.87,1
sz000601,韶能股份_us_chad,7.80,-6.13,1,-0.058,-10.26,0
sz002650,加加食品_us_chad,7.81,-12.34,1,-0.077,-13.22,0
us_chad,us_chad_联创光电,7.81,-13.88,1,0.027,-20.67,1
sz002245,澳洋顺昌_us_chad,7.81,-11.65,1,-0.003,-0.97,2
sz300006,莱美药业_us_chad,7.82,-26.93,1,-0.033,-27.27,0
sz000957,中通客车_us_chad,7.82,-11.92,1,0.006,8.51,2
us_chad,us_chad_方大炭素,7.83,-18.29,1,-0.070,-30.58,1
us_chad,us_chad_宁波联合,7.84,-20.13,1,-0.080,-27.03,1
